centris_no,property_type,price,address,municipality,coordinates,bedrooms,bathrooms,powder_rooms,building_style,year_built,lot_area,net_area,listing_hyperlink
24073968,House for sale,"$289,900",155, Rue Trenton,"Lat:45.3515412800, Lon:-73.7371218000",3 bedrooms,1 bathroom,,"Bungalow, Detached",1960,"5,806 sqft",,https://www.centris.ca/en/houses~for-sale~chateauguay/24073968?view=Summary&uc=1
27674064,House for sale,"$239,000",92, Rue Saint-Jude,"Lat:45.3572010000, Lon:-73.7502920000",3 bedrooms,1 bathroom and 1 powder room,1 bathroom and 1 powder room,"Two or more storey, Semi-detached",1959,"3,667 sqft",,https://www.centris.ca/en/houses~for-sale~chateauguay/27674064?view=Summary&uc=1
19868855,House for sale,"$319,000",201, Rue Liszt,"Lat:45.3465646500, Lon:-73.7129017300",4 bedrooms (1 in basement),2 bathrooms,,"Bungalow, Detached",1971,"5,500 sqft",,https://www.centris.ca/en/houses~for-sale~chateauguay/19868855?view=Summary&uc=1
26541820,House for sale,"$330,000",111, Rue Saint-Georges,"Lat:45.3458420000, Lon:-73.7258520000",3 bedrooms,2 bathrooms,,"Bungalow, Detached",1969,"5,401 sqft",,https://www.centris.ca/en/houses~for-sale~chateauguay/26541820?view=Summary&uc=1
12449040,House for sale,"$349,000",328, Rue Ravel,"Lat:45.3444343200, Lon:-73.7111037800",3 bedrooms (1 in basement),1 bathroom and 1 powder room,1 bathroom and 1 powder room,"Bungalow, Detached",1987,"6,949 sqft",,https://www.centris.ca/en/houses~for-sale~chateauguay/12449040?view=Summary&uc=1
24922063,House for sale,"$549,000",150 - 150A, Chemin de la Haute-Rivière,"Lat:45.3506103700, Lon:-73.7482034200",4 bedrooms (1 in basement),2 bathrooms,,"Bungalow, Detached",1965,"20,096 sqft",,https://www.centris.ca/en/houses~for-sale~chateauguay/24922063?view=Summary&uc=1
25373036,House for sale,"$285,000",242, Rue Rainville,"Lat:45.3560520000, Lon:-73.7102100000",4 bedrooms (1 in basement),1 bathroom,,"Bungalow, Detached",1966,"8,703 sqft",,https://www.centris.ca/en/houses~for-sale~chateauguay/25373036?view=Summary&uc=1
16909579,House for sale,"$1,188,000",40, Rue de la Bergerie,"Lat:45.3719460000, Lon:-73.7470100000",5 bedrooms,3 bathrooms,,"Two or more storey, Detached",1920,"116,364 sqft",,https://www.centris.ca/en/houses~for-sale~chateauguay/16909579?view=Summary&uc=1
27379713,House for sale,"$349,900",27, Rue Trefflé-David,"Lat:45.3482501800, Lon:-73.7594539000",3 bedrooms (1 in basement),2 bathrooms,,"Bungalow, Detached",2010,,,https://www.centris.ca/en/houses~for-sale~chateauguay/27379713?view=Summary&uc=1
27897457,House for sale,"$279,900",313, Rue Colonia,"Lat:45.3678850000, Lon:-73.7215000000",2 bedrooms,1 bathroom and 1 powder room,1 bathroom and 1 powder room,"Two or more storey, Detached",1963,"8,310 sqft",,https://www.centris.ca/en/houses~for-sale~chateauguay/27897457?view=Summary&uc=1
28627527,House for sale,"$330,000",134, Rue Hudon,"Lat:45.3625099200, Lon:-73.7629326000",5 bedrooms (2 in basement),2 bathrooms,,"Bungalow, Detached",1979,"6,770 sqft",,https://www.centris.ca/en/houses~for-sale~chateauguay/28627527?view=Summary&uc=1
13276241,House for sale,"$437,000",417, boulevard Salaberry Nord,"Lat:45.3923788500, Lon:-73.7498528200",2 bedrooms,1 bathroom,,"Bungalow, Detached",1951,"7,911 sqft",,https://www.centris.ca/en/houses~for-sale~chateauguay/13276241?view=Summary&uc=1
11940557,House for sale,"$279,900",148, Rue Morin,"Lat:45.3523660000, Lon:-73.7013010000",3 bedrooms,1 bathroom and 1 powder room,1 bathroom and 1 powder room,"Bungalow, Detached",1966,,,https://www.centris.ca/en/houses~for-sale~chateauguay/11940557?view=Summary&uc=1
22415138,House for sale,"$379,000",313, Avenue Brahms,"Lat:45.3461060000, Lon:-73.7126340000",4 bedrooms (1 in basement),2 bathrooms,,"Bungalow, Detached",1969,"5,179 sqft",,https://www.centris.ca/en/houses~for-sale~chateauguay/22415138?view=Summary&uc=1
15034297,House for sale,"$335,000",115, Rue des Violettes,"Lat:45.3711717500, Lon:-73.7346722500",4 bedrooms (2 in basement),1 bathroom and 1 powder room,1 bathroom and 1 powder room,"Bungalow, Detached",1961,"6,000 sqft",,https://www.centris.ca/en/houses~for-sale~chateauguay/15034297?view=Summary&uc=1
23913517,House for sale,"$499,900",81, Chemin de la Haute-Rivière,"Lat:45.3539432300, Lon:-73.7429751000",2 bedrooms,2 bathrooms,,"Two or more storey, Detached",1914,"9,720 sqft",,https://www.centris.ca/en/houses~for-sale~chateauguay/23913517?view=Summary&uc=1
13462921,House for sale,"$494,900",78, Rue Saint-André,"Lat:45.3564849200, Lon:-73.7471384100",3 bedrooms,2 bathrooms and 1 powder room,2 bathrooms and 1 powder room,"Bungalow, Detached",1970,"15,353 sqft",,https://www.centris.ca/en/houses~for-sale~chateauguay/13462921?view=Summary&uc=1
17496420,House for sale,"$339,900",39, boulevard D'Youville,"Lat:45.3626650000, Lon:-73.7520700000",3 bedrooms,1 bathroom and 1 powder room,1 bathroom and 1 powder room,"Two or more storey, Detached",1921,"9,070 sqft",,https://www.centris.ca/en/houses~for-sale~chateauguay/17496420?view=Summary&uc=1
